timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636453366785,28,Medium text upload 2,200,OK,Realistic WL 20 static types 1-2,text,true,,159,148919,50,50,http://192.168.1.80:5000/upload,28,0,3
1636453366837,23,Medium text upload 5,200,OK,Realistic WL 20 static types 1-4,text,true,,159,164288,50,50,http://192.168.1.80:5000/upload,23,0,4
1636453366860,7,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-6,text,true,,159,154059,50,50,http://192.168.1.80:5000/upload,7,0,1
1636453366896,4,Medium binary download 4,200,OK,Realistic WL 20 static types 1-8,text,true,,158995,134,50,50,http://192.168.1.80:5000/volume/155.bin,3,0,1
1636453366917,8,Medium text download 2,200,OK,Realistic WL 20 static types 1-39,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,6,0,1
1636453366916,9,Medium text upload 1,200,OK,Realistic WL 20 static types 1-9,text,true,,159,143805,50,50,http://192.168.1.80:5000/upload,9,0,1
1636453366969,11,Medium binary download 2,200,OK,Realistic WL 20 static types 1-11,text,true,,148755,134,50,50,http://192.168.1.80:5000/volume/145.bin,8,0,1
1636453367004,22,Medium text upload 2,200,OK,Realistic WL 20 static types 1-13,text,true,,159,148916,50,50,http://192.168.1.80:5000/upload,22,0,3
1636453367016,11,Medium text upload 3,200,OK,Realistic WL 20 static types 1-14,text,true,,159,154042,50,50,http://192.168.1.80:5000/upload,11,0,1
1636453367060,3,Medium binary download 3,200,OK,Realistic WL 20 static types 1-16,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,2,0,0
1636453367082,3,Medium binary download 3,200,OK,Realistic WL 20 static types 1-17,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,2,0,0
1636453367100,3,Medium text download 3,200,OK,Realistic WL 20 static types 1-18,text,true,,153876,134,50,50,http://192.168.1.80:5000/volume/150.txt,3,0,0
1636453367120,3,Medium text download 2,200,OK,Realistic WL 20 static types 1-19,text,true,,148756,134,50,50,http://192.168.1.80:5000/volume/145.txt,3,0,1
1636453367196,25,Medium text upload 5,200,OK,Realistic WL 20 static types 1-23,text,true,,159,164282,50,50,http://192.168.1.80:5000/upload,24,0,2
1636453367236,24,Medium text upload 1,200,OK,Realistic WL 20 static types 1-25,text,true,,159,143802,50,50,http://192.168.1.80:5000/upload,24,0,2
1636453367325,13,Medium text download 1,200,OK,Realistic WL 20 static types 1-29,text,true,,143636,134,50,50,http://192.168.1.80:5000/volume/140.txt,9,0,1
1636453367338,14,Medium binary download 3,200,OK,Realistic WL 20 static types 1-40,text,true,,153875,134,50,50,http://192.168.1.80:5000/volume/150.bin,11,0,2
1636453367373,7,Medium binary download 5,200,OK,Realistic WL 20 static types 1-32,text,true,,164115,134,50,50,http://192.168.1.80:5000/volume/160.bin,5,0,1
1636453367395,10,Medium binary upload 3,200,OK,Realistic WL 20 static types 1-33,text,true,,159,154062,50,50,http://192.168.1.80:5000/upload,10,0,1
1636453367461,43,Medium binary upload 1,200,OK,Realistic WL 20 static types 1-41,text,true,,159,143822,50,50,http://192.168.1.80:5000/upload,43,0,1
1636453367477,29,Medium text upload 1,200,OK,Realistic WL 20 static types 1-42,text,true,,159,143811,50,50,http://192.168.1.80:5000/upload,29,0,3
