procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0   4352 1123776 983912 2957616    0    0     0   304 2812 3436  8  4 87  1  0 2021-11-09 10:23:50
 0  0   4352 1123800 983912 2957164    0    0     0   152 2074 2373  4  3 93  0  0 2021-11-09 10:23:51
 2  0   4352 1123680 983912 2957172    0    0     0  1516 3119 4193 10  4 86  0  0 2021-11-09 10:23:52
 1  0   4352 1123516 983912 2957124    0    0     0  1324 2960 3369 12  6 83  0  0 2021-11-09 10:23:53
 0  0   4352 1123864 983920 2957460    0    0     0   352 2239 2939  4  4 92  0  0 2021-11-09 10:23:54
 2  0   4352 1123704 983928 2957700    0    0     0   496 2537 2540  6  5 88  1  0 2021-11-09 10:23:55
 1  0   4352 1123832 983928 2957188    0    0     0   336 1728 1961  6  3 91  0  0 2021-11-09 10:23:56
 1  0   4352 1123340 983928 2957208    0    0     0   896 2612 3039  8  5 87  0  0 2021-11-09 10:23:57
 1  0   4352 1122864 983928 2957116    0    0     0  1084 3404 4461 10  7 84  0  0 2021-11-09 10:23:58
 1  0   4352 1123016 983936 2957716    0    0     0   348 2004 2173  4  3 93  0  0 2021-11-09 10:23:59
 1  0   4352 1122596 983944 2957692    0    0     0   312 2868 3503  8  5 86  1  0 2021-11-09 10:24:00
 0  0   4352 1101832 983944 2957220    0    0     0   624 3933 3912 11  5 84  0  0 2021-11-09 10:24:01
 3  0   4352 1102012 983944 2957048    0    0     0  1532 3279 4583  9  4 86  0  0 2021-11-09 10:24:02
 0  0   4352 1101656 983944 2957232    0    0     0  1164 3193 4158  9  5 86  0  0 2021-11-09 10:24:03
 0  0   4352 1101360 983952 2957224    0    0     0   408 2055 2570  5  4 92  0  0 2021-11-09 10:24:04
 0  0   4352 1101616 983960 2957732    0    0     0   464 2636 2723  7  5 87  1  0 2021-11-09 10:24:05
 0  0   4352 1118372 983960 2957724    0    0     0   456 1684 1939  5  3 93  0  0 2021-11-09 10:24:06
 0  0   4352 1117980 983960 2958104    0    0     0  1200 2642 3075  9  5 86  0  0 2021-11-09 10:24:07
 2  0   4352 1117932 983960 2958228    0    0     0   912 3781 4371 17  7 75  0  0 2021-11-09 10:24:08
 0  0   4352 1118748 983968 2957220    0    0     0   360 2545 2632  5  4 91  0  0 2021-11-09 10:24:09
 1  0   4352 1115112 983976 2957728    0    0     0   372 2721 3043  8  5 86  1  0 2021-11-09 10:24:10
 0  0   4352 1115432 983976 2957736    0    0     0   320 2285 2289  8  3 89  0  0 2021-11-09 10:24:11
 1  0   4352 1117008 983976 2957212    0    0     0  1520 2967 3959 10  5 86  0  0 2021-11-09 10:24:12
